user_id,flights_booked,hotels_booked,cancellations,flight_discounts_used,median_flight_discount_amount,hotel_discounts_used,median_hotel_discount_amount,median_base_fare_usd,median_price_per_room_usd,median_checked_bags,median_seats,median_nights,median_rooms,birthdate,gender,married,has_children,home_country,total_bookings,cancellation_rate,age,kmeans_cluster,dbscan_cluster,pca_cluster,cluster_label
175032,2,3,0,1,0.3,2,0.1,554.625,151.0,0.5,2.0,4.0,2.0,1994-11-05,F,False,False,usa,5,0.0,31,0,0,0,Family & Group Travelers – Family Comfort Package
181157,3,3,0,2,0.175,1,0.15,381.8,164.0,1.0,1.0,2.0,1.0,1970-08-10,F,True,False,usa,6,0.0,55,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
182191,1,1,1,1,,2,0.1,537.67,,1.0,2.0,,,2004-09-27,F,False,True,usa,2,0.5,21,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
187212,3,3,0,1,0.3999999999999999,1,0.1,427.04,87.0,1.0,1.0,1.0,1.0,1969-02-20,F,True,True,usa,6,0.0,56,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
189676,1,2,0,1,0.15,0,,1244.31,180.5,2.0,3.0,9.0,2.0,1988-01-10,F,False,True,usa,3,0.0,37,0,0,0,Family & Group Travelers – Family Comfort Package
190866,5,5,0,0,,1,0.05,390.86,137.0,0.0,1.0,1.0,1.0,1986-09-24,F,False,False,usa,10,0.0,39,2,0,3,Road Warriors – Priority Boarding & Fast Track
195192,1,1,0,1,0.1,1,0.1,394.29,160.0,0.0,2.0,1.0,2.0,1995-09-20,F,False,False,usa,2,0.0,30,0,0,0,Family & Group Travelers – Family Comfort Package
204943,7,7,1,3,0.15000000000000002,1,,487.59,230.0,1.0,1.0,4.0,1.0,1982-12-20,M,False,False,canada,14,0.07142857142857142,43,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
204997,5,4,2,3,0.25,4,0.1,483.26,83.0,0.0,2.0,3.0,1.5,1985-08-26,F,True,False,usa,9,0.2222222222222222,40,4,-1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
205044,3,3,0,1,0.05,0,,553.05,262.0,0.0,2.0,4.0,2.0,1983-08-25,F,True,True,canada,6,0.0,42,0,0,0,Family & Group Travelers – Family Comfort Package
206011,4,3,0,1,0.05,2,0.2,248.95000000000002,124.0,0.0,1.0,1.0,1.0,1984-08-04,F,False,True,usa,7,0.0,41,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
216796,2,2,1,4,0.2,2,0.1,2500.87,241.0,2.0,2.0,10.0,1.0,2001-07-09,F,False,False,usa,4,0.25,24,3,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
217114,0,0,0,1,0.05,3,0.15,,,,,,,2004-05-28,O,True,True,usa,0,0.0,21,1,0,1,Occasional Voyagers – Starter Flight Boost
217136,1,2,0,2,0.175,0,,539.57,236.5,0.0,1.0,2.0,1.0,1985-04-18,F,False,True,usa,3,0.0,40,1,0,1,Occasional Voyagers – Starter Flight Boost
220725,5,4,1,2,0.15,2,0.05,444.75,116.0,0.0,1.0,4.0,1.0,1983-07-28,F,False,False,usa,9,0.1111111111111111,42,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
224996,2,1,0,0,,1,0.1,448.805,231.0,0.0,1.0,0.0,1.0,1981-03-07,F,False,True,canada,3,0.0,44,1,0,1,Occasional Voyagers – Starter Flight Boost
226367,3,3,0,1,0.05,0,,155.72,264.0,1.0,1.0,2.0,1.0,1980-10-21,F,False,False,usa,6,0.0,45,2,0,3,Road Warriors – Priority Boarding & Fast Track
228195,0,0,0,1,0.2,0,,,,,,,,1997-02-26,F,False,True,usa,0,0.0,28,1,0,1,Occasional Voyagers – Starter Flight Boost
228872,1,2,0,1,0.35,0,,509.21,94.0,1.0,1.0,6.5,1.0,1989-03-22,M,False,False,usa,3,0.0,36,1,0,1,Occasional Voyagers – Starter Flight Boost
229009,4,3,1,1,,1,,1226.015,149.5,0.0,1.0,1.5,1.0,2006-08-27,F,False,False,usa,7,0.14285714285714285,19,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
229108,2,1,1,3,0.2,3,0.1,438.61,,0.0,1.0,,,1998-05-28,F,False,False,usa,3,0.3333333333333333,27,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
229330,4,4,0,0,,1,0.1,414.79499999999996,196.5,0.0,2.0,1.0,2.0,1976-11-08,F,True,False,usa,8,0.0,49,0,0,0,Family & Group Travelers – Family Comfort Package
232647,1,1,0,1,0.1,0,,237.1,213.0,1.0,1.0,11.0,1.0,2006-04-11,F,False,False,usa,2,0.0,19,1,0,1,Occasional Voyagers – Starter Flight Boost
249521,1,2,0,1,0.2,3,0.1,642.02,141.5,1.0,1.0,1.5,1.0,1964-07-23,F,True,True,canada,3,0.0,61,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
252835,5,4,0,1,0.3,1,0.05,389.21,144.5,1.0,1.0,3.0,1.0,1986-01-20,F,False,True,usa,9,0.0,39,2,0,3,Road Warriors – Priority Boarding & Fast Track
258451,1,2,1,2,0.15,1,,,178.0,,,13.0,1.0,2000-12-10,F,False,False,usa,3,0.3333333333333333,25,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
264470,2,2,0,1,0.05,1,0.1,436.51,200.0,0.5,1.0,4.5,1.0,1978-11-05,F,False,True,usa,4,0.0,47,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
276512,1,1,0,2,0.125,2,0.125,395.69,100.0,1.0,1.0,1.0,1.0,1982-08-27,F,True,True,usa,2,0.0,43,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
281952,2,2,0,0,,1,0.15,342.36,131.5,1.5,1.0,1.0,1.0,1987-01-23,F,False,False,usa,4,0.0,38,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
283325,1,2,0,2,0.07500000000000001,1,0.1,453.27,360.5,0.0,1.0,3.0,1.5,1973-05-15,F,True,False,usa,3,0.0,52,1,0,1,Occasional Voyagers – Starter Flight Boost
290123,7,6,0,0,,0,,462.52,192.0,1.0,1.0,2.0,1.5,1983-04-08,F,True,False,usa,13,0.0,42,2,0,3,Road Warriors – Priority Boarding & Fast Track
297546,4,5,0,0,,1,0.05,351.555,101.0,1.0,1.5,4.0,1.0,1972-12-05,F,True,False,usa,9,0.0,53,2,0,3,Road Warriors – Priority Boarding & Fast Track
298253,1,0,0,2,0.225,1,0.15,712.42,,2.0,1.0,,,1977-08-01,F,True,True,usa,1,0.0,48,1,0,1,Occasional Voyagers – Starter Flight Boost
299476,1,1,0,2,0.19999999999999998,2,0.125,192.38,71.0,0.0,1.0,1.0,1.0,1985-05-19,F,True,False,usa,2,0.0,40,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
306165,0,0,0,0,,0,,,,,,,,2003-04-13,F,False,False,usa,0,0.0,22,1,0,1,Occasional Voyagers – Starter Flight Boost
306819,3,3,1,2,0.05,2,0.05,110.0,263.0,0.0,1.0,1.0,1.0,1964-04-02,F,True,True,usa,6,0.16666666666666666,61,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
312488,1,1,0,1,0.25,1,0.2,407.1,299.0,1.0,1.0,0.0,1.0,1993-06-27,M,True,False,usa,2,0.0,32,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
313724,5,6,1,1,,1,,377.23,182.0,1.0,1.0,2.0,1.0,1972-05-13,F,False,False,usa,11,0.09090909090909091,53,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
316527,4,4,0,1,0.15,1,0.05,383.045,279.0,0.0,1.0,2.5,1.0,1982-07-17,F,True,True,canada,8,0.0,43,2,0,3,Road Warriors – Priority Boarding & Fast Track
317688,4,4,0,2,0.24999999999999994,1,0.05,345.935,97.5,0.5,1.0,1.5,1.0,1983-05-19,F,False,True,usa,8,0.0,42,2,0,3,Road Warriors – Priority Boarding & Fast Track
322867,1,1,0,2,0.125,2,0.1,173.04,189.0,1.0,1.0,7.0,1.0,1977-12-07,F,False,False,usa,2,0.0,48,1,0,1,Occasional Voyagers – Starter Flight Boost
324191,2,2,0,2,0.1,1,0.15,49.87,273.5,0.5,1.5,4.5,1.5,1984-05-27,F,False,False,usa,4,0.0,41,0,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
328590,4,3,1,2,0.1,3,0.15,726.33,155.0,0.0,1.0,4.5,2.0,1968-07-23,F,False,False,usa,7,0.14285714285714285,57,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
330764,2,3,1,1,,2,0.05,375.52,129.5,1.0,3.0,4.5,1.0,1985-02-06,F,False,False,usa,5,0.2,40,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
330893,3,3,0,0,,1,0.05,348.24,112.0,1.0,1.0,1.0,1.0,1980-12-16,F,True,True,usa,6,0.0,45,2,0,3,Road Warriors – Priority Boarding & Fast Track
331039,2,2,1,2,0.1,3,0.07500000000000001,2290.87,209.0,3.0,4.0,8.0,2.0,1979-08-02,F,True,True,canada,4,0.25,46,3,-1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
334787,3,3,0,2,0.05,0,,254.02,119.0,1.0,1.0,1.0,1.0,1971-04-27,F,False,False,usa,6,0.0,54,2,0,3,Road Warriors – Priority Boarding & Fast Track
337227,0,0,0,0,,1,0.05,,,,,,,1989-06-25,F,True,False,usa,0,0.0,36,1,0,1,Occasional Voyagers – Starter Flight Boost
338086,2,2,0,1,0.3,1,0.2,490.845,63.0,0.5,1.0,1.0,1.0,1983-12-13,F,False,True,usa,4,0.0,42,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
340166,0,1,0,1,0.1,1,0.1,,237.0,,,2.0,1.0,1973-05-17,M,True,True,usa,1,0.0,52,1,0,1,Occasional Voyagers – Starter Flight Boost
343928,2,1,0,2,0.29999999999999993,1,0.1,2775.31,116.0,0.5,1.5,3.0,1.0,1959-01-26,F,True,False,usa,3,0.0,66,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
347778,5,4,0,2,0.15000000000000002,0,,473.83,227.5,1.0,1.0,2.0,1.0,1974-07-20,F,False,False,usa,9,0.0,51,2,0,3,Road Warriors – Priority Boarding & Fast Track
348817,3,4,0,1,0.05,0,,524.22,182.0,1.0,1.0,2.0,1.0,1995-08-07,F,False,False,canada,7,0.0,30,2,0,3,Road Warriors – Priority Boarding & Fast Track
348863,0,0,0,0,,1,0.1,,,,,,,1957-01-13,F,True,False,usa,0,0.0,68,1,0,1,Occasional Voyagers – Starter Flight Boost
349132,2,3,0,0,,1,0.1,360.53,193.0,0.5,2.0,4.0,1.0,1975-06-17,F,False,False,usa,5,0.0,50,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
350648,2,2,1,3,0.175,2,0.1,212.18,185.0,0.0,1.0,3.0,1.0,2006-03-02,F,False,False,usa,4,0.25,19,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
353271,1,1,0,1,0.15,1,0.15,408.4,136.0,0.0,2.0,0.0,2.0,1997-09-05,F,False,True,usa,2,0.0,28,0,0,0,Family & Group Travelers – Family Comfort Package
353694,2,2,0,3,0.05,0,,230.685,124.0,0.5,1.5,4.5,1.5,1984-06-17,F,False,True,usa,4,0.0,41,0,0,0,Family & Group Travelers – Family Comfort Package
354050,5,5,0,1,0.05,1,0.05,292.13,198.0,0.0,1.0,3.0,1.0,1974-05-28,F,False,False,usa,10,0.0,51,2,0,3,Road Warriors – Priority Boarding & Fast Track
354260,2,1,0,2,0.15,0,,582.505,260.0,1.0,1.0,2.0,1.0,1974-09-27,F,False,False,usa,3,0.0,51,1,0,1,Occasional Voyagers – Starter Flight Boost
354311,2,1,0,1,0.1,0,,536.4449999999999,97.0,0.5,1.0,3.0,1.0,1978-07-12,F,True,False,usa,3,0.0,47,1,0,1,Occasional Voyagers – Starter Flight Boost
354950,1,1,0,0,,1,0.1,460.54,127.0,1.0,1.0,6.0,1.0,1970-10-19,M,True,False,usa,2,0.0,55,1,0,1,Occasional Voyagers – Starter Flight Boost
356046,2,2,0,1,0.15,1,0.05,391.905,97.5,0.0,1.5,2.0,1.5,1989-10-17,F,False,False,canada,4,0.0,36,0,0,0,Family & Group Travelers – Family Comfort Package
357737,5,6,1,1,,4,0.1,605.37,164.0,0.0,1.0,3.0,1.0,1982-10-04,F,True,True,usa,11,0.09090909090909091,43,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
359072,4,4,1,3,0.2,1,,211.13500000000002,99.0,0.0,1.0,2.5,1.0,1972-12-09,F,True,True,canada,8,0.125,53,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
359080,4,2,0,1,0.1,1,0.2,637.3050000000001,338.5,1.0,1.0,2.0,1.0,1982-05-09,F,True,False,usa,6,0.0,43,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
359653,2,2,0,1,0.25,2,0.07500000000000001,392.165,215.0,1.0,1.0,1.5,1.0,1968-12-26,M,False,False,canada,4,0.0,57,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
361459,1,1,0,0,,2,0.125,393.91,165.0,1.0,1.0,1.0,1.0,1982-09-16,F,True,True,usa,2,0.0,43,1,0,1,Occasional Voyagers – Starter Flight Boost
361759,4,3,0,3,0.1,2,0.07500000000000001,410.2,88.0,0.5,1.0,0.0,1.0,1971-08-14,F,True,False,canada,7,0.0,54,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
363535,4,4,1,4,0.2,1,,295.72,198.0,1.0,1.0,3.0,1.0,1993-05-15,F,False,False,usa,8,0.125,32,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
365825,2,3,1,2,0.1,1,,64.63,223.0,1.0,1.0,4.0,2.0,1979-05-10,F,False,False,usa,5,0.2,46,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
371201,1,0,0,1,0.3999999999999999,1,0.05,199.47,,3.0,1.0,,,1996-01-16,M,False,True,usa,1,0.0,29,1,0,1,Occasional Voyagers – Starter Flight Boost
372970,2,2,0,2,0.125,2,0.15000000000000002,646.6500000000001,204.0,0.5,1.0,0.0,1.0,1990-04-01,F,False,False,usa,4,0.0,35,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
373489,1,1,0,3,0.2,4,0.125,7451.31,51.0,3.0,4.0,12.0,2.0,1986-12-08,F,True,True,usa,2,0.0,39,3,-1,0,Family & Group Travelers – Family Comfort Package
374331,2,2,1,4,0.1,2,0.2,236.26,280.0,1.0,1.0,12.0,2.0,1981-12-01,M,False,False,usa,4,0.25,44,4,-1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
374340,1,0,0,0,,1,0.05,3966.19,,1.0,2.0,,,1989-06-26,F,True,False,usa,1,0.0,36,1,0,1,Occasional Voyagers – Starter Flight Boost
374341,0,3,0,1,0.1,0,,,140.0,,,7.0,2.0,1998-07-15,F,False,False,usa,3,0.0,27,0,0,0,Family & Group Travelers – Family Comfort Package
375160,0,0,0,1,0.05,1,0.1,,,,,,,2003-11-23,F,False,False,usa,0,0.0,22,1,0,1,Occasional Voyagers – Starter Flight Boost
375729,3,3,0,3,0.1,2,0.07500000000000001,238.04,71.0,0.0,1.0,2.0,1.0,1971-04-12,F,False,False,usa,6,0.0,54,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
375751,3,2,0,0,,1,0.05,306.21,166.5,0.0,1.0,3.0,1.0,1974-02-09,F,True,False,usa,5,0.0,51,2,0,3,Road Warriors – Priority Boarding & Fast Track
376159,1,2,0,0,,0,,367.24,127.5,1.0,1.0,3.0,1.0,1982-01-24,F,False,False,usa,3,0.0,43,1,0,1,Occasional Voyagers – Starter Flight Boost
377069,2,1,1,1,,2,0.05,926.67,,1.0,2.0,,,1956-03-06,F,True,False,usa,3,0.3333333333333333,69,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
377411,2,2,0,3,0.1,1,0.15,504.30499999999995,113.5,0.0,1.5,2.5,1.5,1986-05-24,F,True,False,canada,4,0.0,39,0,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
378565,2,5,0,4,0.07500000000000001,0,,354.815,133.0,0.5,1.0,7.0,1.0,1983-09-27,F,True,True,usa,7,0.0,42,2,0,3,Road Warriors – Priority Boarding & Fast Track
379543,3,3,0,1,0.1,1,0.15,431.87,280.0,0.0,1.0,1.0,1.0,1968-01-06,F,True,False,usa,6,0.0,57,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
380434,3,3,0,2,0.125,1,0.05,357.32,343.0,0.0,1.0,2.0,1.0,1974-07-02,F,True,True,usa,6,0.0,51,2,0,3,Road Warriors – Priority Boarding & Fast Track
380436,1,1,0,0,,2,0.175,113.25,165.0,1.0,1.0,4.0,1.0,1979-11-04,F,False,False,usa,2,0.0,46,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
380757,3,3,0,1,0.05,2,0.05,99.94,182.0,0.0,1.0,1.0,1.0,1977-12-19,F,False,True,usa,6,0.0,48,2,0,3,Road Warriors – Priority Boarding & Fast Track
380874,3,3,0,0,,3,0.2,135.08,157.0,1.0,1.0,1.0,1.0,1970-02-17,F,True,False,usa,6,0.0,55,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
380949,6,5,1,1,,2,0.15,356.245,236.0,0.0,1.0,1.0,1.0,1978-02-03,F,False,False,usa,11,0.09090909090909091,47,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
381259,1,1,0,0,,1,0.1,719.48,68.0,1.0,1.0,1.0,1.0,2002-12-04,F,False,True,usa,2,0.0,23,1,0,1,Occasional Voyagers – Starter Flight Boost
381465,3,5,1,3,0.07500000000000001,1,,27.04,95.0,0.0,1.0,3.0,1.0,1990-07-19,F,False,False,usa,8,0.125,35,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
382181,3,2,0,2,0.175,0,,224.72,208.0,1.0,1.0,2.0,1.0,1987-12-26,F,True,False,canada,5,0.0,38,2,0,3,Road Warriors – Priority Boarding & Fast Track
382384,1,1,0,0,,0,,228.63,156.0,1.0,1.0,0.0,1.0,1967-06-15,F,True,False,usa,2,0.0,58,1,0,1,Occasional Voyagers – Starter Flight Boost
382533,0,0,0,1,0.2,1,0.05,,,,,,,2006-04-14,F,False,False,usa,0,0.0,19,1,0,1,Occasional Voyagers – Starter Flight Boost
385689,3,4,0,2,0.15000000000000002,0,,546.73,193.5,0.0,1.0,3.5,1.0,1974-10-08,F,False,True,usa,7,0.0,51,2,0,3,Road Warriors – Priority Boarding & Fast Track
386255,0,1,0,2,0.1,1,0.05,,268.0,,,4.0,2.0,1992-04-05,F,False,True,usa,1,0.0,33,0,0,0,Family & Group Travelers – Family Comfort Package
386469,0,0,0,1,0.3,0,,,,,,,,2006-10-16,F,False,False,usa,0,0.0,19,1,0,1,Occasional Voyagers – Starter Flight Boost
386914,3,2,1,2,0.1,4,0.1,11100.19,321.0,4.0,5.0,2.0,1.0,1977-12-08,F,True,True,canada,5,0.2,48,3,-1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
387282,0,1,0,2,0.175,1,0.1,,330.0,,,4.0,3.0,1993-12-18,F,False,True,usa,1,0.0,32,0,0,0,Family & Group Travelers – Family Comfort Package
387783,1,3,0,1,0.45,1,0.1,431.26,165.0,0.0,1.0,1.0,1.0,1970-08-23,M,True,True,usa,4,0.0,55,1,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
388328,3,5,0,3,0.1,2,0.125,560.46,161.0,1.0,1.0,3.0,1.0,1973-11-28,F,True,True,canada,8,0.0,52,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
388767,1,1,0,0,,0,,372.34,189.0,1.0,1.0,10.0,1.0,1979-09-13,F,True,True,usa,2,0.0,46,1,0,1,Occasional Voyagers – Starter Flight Boost
388947,3,2,0,3,0.15,1,0.1,488.66,171.0,1.0,1.0,2.0,1.0,1983-11-06,M,False,False,usa,5,0.0,42,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
389434,6,6,1,4,0.1,1,,458.48,109.0,0.5,1.0,1.0,1.0,1982-05-03,F,False,False,usa,12,0.08333333333333333,43,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
389662,2,3,0,3,0.1,0,,330.09000000000003,132.0,1.0,1.0,1.0,1.0,1985-08-09,F,False,False,usa,5,0.0,40,2,0,3,Road Warriors – Priority Boarding & Fast Track
389759,3,3,0,3,0.2,0,,983.25,188.0,0.0,1.0,1.0,1.0,1991-06-02,F,False,True,usa,6,0.0,34,2,0,3,Road Warriors – Priority Boarding & Fast Track
390811,3,3,0,1,0.1,0,,336.33,109.0,1.0,1.0,4.0,1.0,1983-07-26,F,False,False,usa,6,0.0,42,2,0,3,Road Warriors – Priority Boarding & Fast Track
392453,1,1,0,2,0.07500000000000001,2,0.1,393.98,106.0,1.0,1.0,11.0,1.0,1966-06-11,F,False,False,usa,2,0.0,59,1,0,1,Occasional Voyagers – Starter Flight Boost
395202,0,1,0,1,0.2,0,,,228.0,,,13.0,1.0,1997-09-27,F,False,False,usa,1,0.0,28,1,0,1,Occasional Voyagers – Starter Flight Boost
395981,3,3,0,1,0.2,0,,517.37,363.0,1.0,1.0,1.0,1.0,1972-08-17,F,True,False,canada,6,0.0,53,2,0,3,Road Warriors – Priority Boarding & Fast Track
396552,4,4,0,0,,1,0.1,216.055,169.5,0.5,1.0,1.0,1.0,1979-01-06,F,True,False,canada,8,0.0,46,2,0,3,Road Warriors – Priority Boarding & Fast Track
399137,2,4,0,3,0.15,0,,415.735,204.5,1.0,1.0,4.0,1.0,1970-08-24,F,True,False,usa,6,0.0,55,2,0,3,Road Warriors – Priority Boarding & Fast Track
399218,2,1,0,1,0.2,0,,243.95,123.0,0.5,1.0,2.0,1.0,1980-05-25,F,True,True,usa,3,0.0,45,1,0,1,Occasional Voyagers – Starter Flight Boost
399799,4,4,0,0,,1,0.1,354.07,91.5,0.5,1.0,1.0,1.0,1969-03-07,F,True,False,canada,8,0.0,56,2,0,3,Road Warriors – Priority Boarding & Fast Track
400275,2,1,0,3,0.1,0,,536.525,263.0,0.5,1.0,4.0,1.0,1968-05-27,F,True,True,usa,3,0.0,57,1,0,1,Occasional Voyagers – Starter Flight Boost
400582,3,4,0,1,0.1,1,0.15,207.32,284.0,0.0,1.0,2.0,1.0,1991-12-21,F,True,False,usa,7,0.0,34,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
400899,3,3,0,0,,0,,289.75,168.0,1.0,1.0,4.0,1.0,1978-09-18,F,True,False,canada,6,0.0,47,2,0,3,Road Warriors – Priority Boarding & Fast Track
401245,3,2,0,3,0.1,1,0.15,364.14,127.0,0.0,1.0,3.0,1.0,1996-01-15,F,False,False,usa,5,0.0,29,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
402332,2,2,0,2,0.1,2,0.05,430.45,139.0,0.0,1.5,0.5,1.5,1992-01-10,F,False,False,usa,4,0.0,33,0,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
402978,4,4,0,1,0.15,0,,340.6,110.5,1.0,1.0,3.0,1.0,1972-08-02,F,True,False,usa,8,0.0,53,2,0,3,Road Warriors – Priority Boarding & Fast Track
403881,4,4,0,2,0.275,0,,557.75,150.5,1.0,1.5,2.0,1.5,1980-04-03,F,False,False,usa,8,0.0,45,2,0,3,Road Warriors – Priority Boarding & Fast Track
404879,4,3,0,0,,0,,119.855,194.0,0.5,1.0,4.0,1.0,1985-06-18,F,True,False,usa,7,0.0,40,2,0,3,Road Warriors – Priority Boarding & Fast Track
405305,3,3,0,2,0.1,1,0.2,557.01,139.0,1.0,1.0,1.0,1.0,1979-01-18,F,True,True,usa,6,0.0,46,2,0,4,Steady Explorers – Deal Alerts + Free Checked Bag
406210,2,2,0,2,0.2,0,,595.405,167.0,0.5,1.0,6.5,1.0,2002-12-02,F,False,True,usa,4,0.0,23,1,0,1,Occasional Voyagers – Starter Flight Boost
407118,4,4,1,1,,2,0.15,638.99,126.0,1.0,1.5,11.5,1.0,1971-12-26,F,True,False,usa,8,0.125,54,4,1,2,Frequent Business Flyers – Lounge & No-Fee Cancellation
